Rk,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
40,32,132,549,491,63,140,22,6,1,43,43,0,49,6,8,1,5,17,8,0.285,0.349,0.36,0.71,*9/DH7
41,25,32,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,*1
42,23,103,410,372,46,86,16,3,20,57,31,4,127,6,0,1,6,1,2,0.231,0.3,0.452,0.752,*9/HD
43,23,111,467,432,58,124,34,2,18,61,25,1,58,4,1,5,13,2,1,0.287,0.328,0.5,0.828,*5
44,28,63,222,203,20,36,9,0,10,35,10,0,62,7,0,2,6,0,0,0.177,0.239,0.369,0.608,32D/H1
45,29,107,204,193,18,49,9,0,0,15,8,2,23,0,1,2,1,1,0,0.254,0.281,0.301,0.581,5H346/D
46,28,26,47,39,3,7,2,1,0,3,2,0,16,0,6,0,1,0,0,0.179,0.22,0.282,0.502,*1/H
47,37,15,31,27,5,6,0,0,0,0,0,0,12,0,4,0,0,0,0,0.222,0.222,0.222,0.444,*1/H
48,24,22,45,41,4,8,1,0,0,4,3,0,17,0,0,1,1,0,0,0.195,0.244,0.22,0.464,*6/H
49,24,121,434,397,43,100,25,0,10,46,33,4,102,0,3,1,6,0,1,0.252,0.309,0.39,0.699,*5H
50,38,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
51,25,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*1
52,27,124,457,390,44,85,22,0,11,47,61,1,151,3,1,2,6,0,3,0.218,0.327,0.359,0.686,*2/HD3
53,24,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,*1
54,33,113,374,344,38,85,16,1,5,39,13,0,49,1,11,5,10,14,5,0.247,0.273,0.343,0.616,5476H/89
55,28,5,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,/*1
56,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
57,30,156,642,589,77,164,30,4,7,68,36,4,62,5,3,8,10,16,9,0.278,0.321,0.379,0.7,*6/H
58,31,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
59,21,52,229,213,25,36,6,0,9,20,15,0,95,1,0,0,5,5,1,0.169,0.227,0.324,0.551,*64
60,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
61,28,23,51,41,3,6,0,0,0,3,2,0,18,0,8,0,1,0,0,0.146,0.186,0.146,0.332,*1
62,33,90,225,208,27,55,10,4,3,28,13,1,51,1,0,3,8,1,0,0.264,0.307,0.394,0.701,3H4/5
63,33,68,208,182,9,35,7,0,0,15,19,3,58,2,3,2,3,0,0,0.192,0.273,0.231,0.504,*2H/1
64,32,25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
65,36,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
66,35,48,116,102,15,25,5,0,0,7,9,2,18,4,0,1,2,1,1,0.245,0.328,0.294,0.622,*64/H35
67,28,132,313,292,37,75,17,4,8,27,15,0,100,0,6,0,11,5,4,0.257,0.293,0.425,0.718,*H97/8D
68,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
69,28,94,262,237,24,57,11,2,3,23,17,2,34,4,2,2,1,1,0,0.241,0.3,0.342,0.642,*4H/6
70,23,21,60,54,3,10,0,0,1,1,4,1,10,0,2,0,0,0,0,0.185,0.241,0.241,0.482,*2/H
71,26,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
72,34,3,4,3,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.25,0,0.25,/*H*7D
73,28,30,64,57,7,9,1,0,0,5,5,0,14,1,0,1,0,0,0,0.158,0.234,0.175,0.41,*3/H
74,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
75,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
76,28,67,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,,,*1
77,23,26,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,*1
78,33,155,673,553,101,158,27,0,35,103,104,11,96,9,1,6,18,6,2,0.286,0.403,0.524,0.928,*9D83/H
79,29,4,8,7,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0.125,0,0.125,/*H7
80,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
81,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
82,34,20,43,39,4,7,3,0,0,2,1,0,14,0,3,0,0,0,0,0.179,0.2,0.256,0.456,*1
83,27,127,483,446,53,101,27,0,9,44,22,2,81,7,3,5,17,3,0,0.226,0.271,0.348,0.618,*45/H6D
84,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
85,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
86,25,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,/*1
87,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
88,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
89,34,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*1
90,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
91,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
92,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
93,26,4,14,10,1,1,1,0,0,1,3,1,3,0,0,1,0,0,0,0.1,0.286,0.2,0.486,/*D
94,26,61,235,214,30,52,8,0,12,27,18,2,64,2,0,1,4,3,1,0.243,0.306,0.449,0.755,*3/H9
95,37,109,449,403,46,94,23,0,15,49,37,2,80,4,0,5,11,3,1,0.233,0.301,0.402,0.703,*D9/H3
